inn,year,code,value,source,fetched
1402047184,2023,4320,18341179,girbo,2026-09-14
1402047184,2023,4322,2071012,girbo,2026-09-14
1402047184,2023,4323,12700000,girbo,2026-09-14
1402047184,2023,4329,3570167,girbo,2026-09-14
1402047184,2023,4400,-111526,girbo,2026-09-14
1402047184,2023,4450,6322575,girbo,2026-09-14
1402047184,2023,4490,0,girbo,2026-09-14
1402047184,2023,4500,6211049,girbo,2026-09-14
1402047184,2023,prev1100,49048636,girbo,2026-09-14
1402047184,2023,prev1110,21324,girbo,2026-09-14
1402047184,2023,prev1150,2004073,girbo,2026-09-14
1402047184,2023,prev1160,760,girbo,2026-09-14
1402047184,2023,prev1170,45305758,girbo,2026-09-14
1402047184,2023,prev1180,1060696,girbo,2026-09-14
1402047184,2023,prev1190,656025,girbo,2026-09-14
1402047184,2023,prev1200,15551209,girbo,2026-09-14
1402047184,2023,prev1210,355523,girbo,2026-09-14
1402047184,2023,prev1230,8480772,girbo,2026-09-14
1402047184,2023,prev1240,316491,girbo,2026-09-14
1402047184,2023,prev1250,6322574,girbo,2026-09-14
1402047184,2023,prev1260,75849,girbo,2026-09-14
1402047184,2023,prev1300,32181244,girbo,2026-09-14
1402047184,2023,prev1310,1030000,girbo,2026-09-14
1402047184,2023,prev1340,34530,girbo,2026-09-14
1402047184,2023,prev1350,14956276,girbo,2026-09-14
1402047184,2023,prev1360,49616,girbo,2026-09-14
1402047184,2023,prev1370,16110822,girbo,2026-09-14
1402047184,2023,prev1400,14400051,girbo,2026-09-14
1402047184,2023,prev1410,14394402,girbo,2026-09-14
1402047184,2023,prev1420,5649,girbo,2026-09-14
1402047184,2023,prev1500,18018550,girbo,2026-09-14
1402047184,2023,prev1510,5537449,girbo,2026-09-14
1402047184,2023,prev1520,12399764,girbo,2026-09-14
1402047184,2023,prev1540,81337,girbo,2026-09-14
1402047184,2023,prev1600,64599845,girbo,2026-09-14
1402047184,2023,prev1700,64599845,girbo,2026-09-14
1402047184,2023,prev2100,41396,girbo,2026-09-14
1402047184,2023,prev2110,869308,girbo,2026-09-14
1402047184,2023,prev2120,827912,girbo,2026-09-14
1402047184,2023,prev2200,-775788,girbo,2026-09-14
1402047184,2023,prev2220,817184,girbo,2026-09-14
1402047184,2023,prev2300,1800387,girbo,2026-09-14
1402047184,2023,prev2310,4958419,girbo,2026-09-14
1402047184,2023,prev2320,987638,girbo,2026-09-14
1402047184,2023,prev2330,2230410,girbo,2026-09-14
1402047184,2023,prev2340,30596140,girbo,2026-09-14
1402047184,2023,prev2350,31735612,girbo,2026-09-14
1402047184,2023,prev2400,2287056,girbo,2026-09-14
1402047184,2023,prev2410,486669,girbo,2026-09-14
1402047184,2023,prev2412,486669,girbo,2026-09-14
1402047184,2023,prev2500,2287056,girbo,2026-09-14
